noteId,noteAuthorParticipantId_x,createdAtMillis_x,tweetId,classification,summary,timestampMillisOfFirstNonNMRStatus,firstNonNMRStatus,found_keywords
1641786286154326017,A8E0309EB58497E796A01E8BE024167F965B9179ECD26AF7FDDC767E43747D2B,1680267328188,1641595879265107968,MISINFORMED_OR_POTENTIALLY_MISLEADING,"In the actual article linked in this tweet, it is stated that George Soros donated $1M &quot;to the group Color for Change, which backed Bragg's DA campaign.&quot;    https://www.cnbc.com/2023/03/22/trump-indictment-alvin-bragg-ties-to-george-soros-examined.html",1680279058736.0,CURRENTLY_RATED_HELPFUL,"['campaign', 'Trump']"
1692894585788182877,F735563C1D6CACAE98B239A5BF3B6B29334E5A32093D655B66C4A4A96408409D,1692452496367,1692579193740050867,MISINFORMED_OR_POTENTIALLY_MISLEADING,"COVID-19 vaccines are not dangerous and ineffective.  COVID vaccines have reassuring safety and effectively reduce death, severe &amp; symptomatic cases from COVID-19    https://idpjournal.biomedcentral.com/articles/10.1186/s40249-021-00915-3    https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(22)00345-0/fulltext",,,['Covid']
1751704764876800429,243A8A84DF92A454CAC404400C24AFEE3FF470DCD291AF07A5D14FE937484052,1706473935705,1751561927648510029,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The post-Soviet government of Russia puts the Soviet war losses at 26.6 million. This includes estimated deaths as a result of effects of the war (eg worse quality of life). The figure includes deaths in Soviet-occupied countries such as Ukraine, Belarus &amp; the Baltic states    https://en.m.wikipedia.org/wiki/World_War_II_casualties_of_the_Soviet_Union    https://guides.lib.uconn.edu/ukraine/WWII",,,['Ukraine']
1806609120230785086,042E7CB69F66DCED200FC56563714E30871E7CEA4CBD58CEE226D1FE9F9BFCB5,1719564154094,1806417047095595160,MISINFORMED_OR_POTENTIALLY_MISLEADING,The views of one reform campaign volunteer do not represent the stance of a whole party.     Nigel Farage has condemned this person and removed him from his volunteer role.    https://www.clactonandfrintongazette.co.uk/news/24417162.nigel-farage-condemns-reform-campaigners-slurs-clacton/,,,"['campaign', 'party', 'reform']"
1816881249224716545,EAD86BAF5110ED58BBB4AD53284D58F057C86A808FB62EDA48AD0B2AA4A81674,1722013220493,1816787937691840597,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Trump agreed to debate Biden on September 10.  Kamala Harris is not Joe Biden. Joe Biden agreed to 2 debates, then pulled out of his entire campaign after the first one.    https://www.cbsnews.com/news/when-is-second-presidential-debate-2024/    https://x.com/FrankLuntz/status/1816860679888077058?t=r34JKEA1T60JaXKDJ1JZrg&amp;s=19",,,"['biden', 'campaign', 'debate', 'Harris', 'Trump']"
1768726977123373419,6F9572341A5CD771A71DEEC46802B5D5DA1AE66246829B4768975A4E64B7D3B6,1710532347364,1767988155712679998,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The Georgia RICO case against Trump has not been dropped, although some of the charges were. https://apnews.com/article/georgia-election-interference-2020-trump-46e0b68c25719c404130f7e6eab69dcd",,,"['election', 'Trump']"
1690082495906349289,599F71F8D2A1883BA2FC22DE443B59C31E31A9DBA827E6AE1175877A791CB621,1691782041896,1690023788530847744,MISINFORMED_OR_POTENTIALLY_MISLEADING,Fousey’s Twitch Ban was the result of violating their Distracted Driving policy.    https://twitter.com/fousey/status/1690070351756300288?s=46,,,['policy']
1627909278093770754,142884B92E16F28D1BC840A3904A3C3811D793D0A74BA3F894C76CC666D183A8,1676958791646,1627758909019639822,MISINFORMED_OR_POTENTIALLY_MISLEADING,What MTG is proposing has been made illegal by the Supreme Court during “reconstruction” the post Civil War era of reform meant to heal the nation.    Any attempt to actually carry out a national divorce would be unconstitutional and in many scenarios considered sedition.    https://www.law.cornell.edu/supremecourt/text/74/700    https://www.loc.gov/exhibits/african-american-odyssey/reconstruction.html    https://www.law.cornell.edu/wex/sedition,1678145942846.0,CURRENTLY_RATED_HELPFUL,"['law', 'nation', 'reform', 'Supreme court']"
1716909744630214866,D0B51DF2FA15CFAA267E5462807C87819C4FBC84AEA3E5B76F8C18357EC60F40,1698178156418,1716809787021942846,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Se ha comprobado que Israel no ha usado Fósforo blanco contra la franja de Gaza, ni con el Líbano ni con ningún otro país. Las que muestran fueron tomadas con la guerra de Rusia y Ucrania.     https://www.newtral.es/fosforo-blanco-gaza/20231013/",1698191991965.0,CURRENTLY_RATED_NOT_HELPFUL,['Israel']
1706392837250580680,F6BBA642FDFFC8D9DCCA30A1DC702E51E53BAEC4881957D3A63C66248BE8D7F8,1695670730302,1706368477190123586,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Yaroslav Hunka was born in Urman, Second Polish Republic (now Ukraine) c. 1925 In 1943, Hunka volunteered to join the 14th Waffen Grenadier Division of the SS (1st Galician).",,,['Ukraine']
